OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,lat,lon
7,WOODSHED OF BIG CABIN,"I-44, EXIT 283 & US-69",Big Cabin,OK,307,3.00733333,35.61810178271044,-78.8099125039731
9,KWIK TRIP #796,"I-94, EXIT 143 & US-12 & SR-21",Tomah,WI,420,3.28733333,44.260714596148745,-114.84266195608194
20,PILOT TRAVEL CENTER #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,930,3.899,40.97990912717108,-72.8489645177132
20,PILOT #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,930,3.899,38.97987726295555,-80.2463559409418
28,LITTLEFIELD EXPRESS #2,"I-540, EXIT 12 & US-71",Fort Smith,AR,645,3.399,32.34027960663655,-110.9374872224224
35,ACI TRUCK STOP,US-46,Columbia,NJ,90,3.079,32.33991780504304,-84.39960194009187
36,SHENANDOAH TRUCK CENTER,"I-81, EXIT 273 & SR-703/SR-292",Mount Jackson,VA,60,2.899,30.871254182522993,-100.75206386812215
44,CIRCLE K #2612042,"I-35,  EXIT 271",Jarrell,TX,595,2.919,42.992642186624025,-99.88526609618407
46,PETRO STOPPING CENTER #348,"I-85,  EXIT 22 & CR-138",Shorter,AL,720,3.154,39.01672517614813,-80.83549537805668
49,TA SEYMOUR TRAVEL CENTER,"I-65, EXIT 50 & US-50 & US-31",Seymour,IN,415,3.959,40.62108866694068,-71.86075960096339
50,TA COUNCIL BLUFFS TRAVEL CENTER,"I-29 & I-80, EXIT 3",Council Bluffs,IA,319,3.72566666,30.308767414437035,-113.66720635764031
56,TOPS TRUCK STOP,"I-94, EXIT 182 & US-83",Sterling,ND,390,3.51566666,44.54864778242992,-98.96848815605904
75,Good 2 Go #709,US-50,Montrose,CO,810,3.424,42.48663961200633,-95.95291959578482
77,OASIS TRAVEL PLAZA,US-13,Laurel,DE,243,3.229,33.18508666017414,-101.18440915225011
79,DELAWARE TRUCK PLAZA,US-13 & US-40,New Castle                              ,DE,243,3.249,32.72737450810651,-101.84054381418875
81,One9 #89,"I-75, EXIT 224",Ellenton,FL,225,3.439,32.751067647801506,-117.38656662192017
85,DOWNIEVILLE FUEL STOP,"I-70, EXIT 234",Dumont,CO,800,3.459,34.563633644393065,-85.72306897186883
91,MOLLYS FOOD & FUEL,"I-20 & ST 22, EXIT 55",Crawfordville                           ,GA,135,3.499,37.871346474483566,-98.18927914399774
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.269,36.47917527963173,-110.26030986780366
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.339,34.36843710297063,-79.19832488489658
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.429,39.17779342083569,-79.87196259241861
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.289,32.092407909780626,-95.68041859555531
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.399,34.38216972802827,-105.07746694261198
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.299,35.49542764940537,-88.09536371017738
118,Lupton Truck Stop #567,"I-40, EXIT 359",Lupton,AZ,580,3.299,36.84104976325554,-105.59239321112985
121,PETRO STOPPING CENTER #306,"I-10, EXIT 200",Eloy,AZ,930,3.474,41.777639420895206,-108.1996034838144
127,CIRCLE K #4700095,US-41,Henderson,KY,340,3.609,32.9951067323754,-83.47426729868367
